"","Donor","ncells","frac_clusters","frac_ambiguous","mixing"
"1","A","50k",0.241574339505695,0.114976369411947,"intra-donor"
"2","A","100k",0.265450078961221,0.115318476925776,"intra-donor"
"3","A","50k",0.245169515158759,0.121190390821083,"intra-donor"
"4","A","50k",0.245172191824911,0.115988091406501,"intra-donor"
"5","B","100k",0.271219163389346,0.109402931712549,"intra-donor"
"6","B","50k",0.243272616615224,0.110811633265226,"intra-donor"
"7","C","50k",0.198002478676095,0.103849238171612,"intra-donor"
"8","C","100k",0.220051996533564,0.101193253783081,"intra-donor"
"9","C","50k",0.212458576907324,0.100346278437651,"intra-donor"
"10","C","100k",0.219241118433881,0.104082985610108,"intra-donor"
"11","C","50k",0.195658371685741,0.11464994094408,"intra-donor"
"12","C","100k",0.221405322611526,0.0946582423894314,"intra-donor"
"13","mixed","100k",0.198309818806847,0.115985103487789,"inter-donor"
"14","mixed","50k",0.201690420947962,0.117873715611535,"inter-donor"
"15","mixed","100k",0.195636236690522,0.114505149240705,"inter-donor"
"16","mixed","50k",0.191433922319029,0.122465597264066,"inter-donor"
"17","mixed","100k",0.191808191808192,0.0989343989343989,"inter-donor"
"18","mixed","50k",0.198002478676095,0.103849238171612,"inter-donor"
"19","mixed","100k",0.220051996533564,0.101193253783081,"inter-donor"
