BC01	20240830_CH12.01
BC04	20240830_CH12.02
BC08	20240830_CH12.03
BC10	20240830_CH12.04
BC12	20240830_CH12.05
BC13	20240830_CH12.06
BC14	20240830_CH12.07
BC18	20240830_CH12.08
BC21	20240830_CH12.09
BC23	20240830_CH12.10
BC25	20240830_CH12.11
BC26	20240830_CH12.12
BC31	20240830_CH12.13
BC32	20240830_CH12.14
BC33	20240830_CH12.15
BC45	20240830_CH12.16
BC47	20240830_CH12.17
BC48	20240830_CH12.18
BC49	20240830_CH12.19
BC54	20240830_CH12.20
BC55	20240830_CH12.21
BC57	20240830_CH12.22
BC66	20240830_CH12.23
BC68	20240830_CH12.24
BC69	20240830_CH12.25
BC70	20240830_CH12.26
BC72	20240830_CH12.27
BC75	20240830_CH12.28
BC76	20240830_CH12.29
BC78	20240830_CH12.30
BC82	20240830_CH12.31
BC88	20240830_CH12.32
BC90	20240830_CH12.33
BC91	20240830_CH12.34
BC92	20240830_CH12.35
BC96	20240830_CH12.36
